price,area,district,ward,has_air_conditioner,has_kitchen,has_fridge,has_wardrobe,has_bed,has_mattress,has_sofa,is_full_furniture,is_duplex,has_window,has_camera,has_security,is_free_time,near_school,near_market,near_supermarket,has_wifi,has_parking,has_balcony,washing_machine_type,wc_type,lock_type,water_type,area_group,price_per_sqm,amenity_score,location_score,has_private_facilities,security_score,log_price
1500000.0,25.0,3,4,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,True,True,False,True,share,unknown,unknown,unknown,center,60000.0,11,2,0,2,14.220976332738882
1400000.0,25.0,10,15,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,True,False,True,share,share,unknown,bottle,center,56000.0,10,1,0,2,14.151983508870947
1200000.0,25.0,9,tăng nhơn phú a,True,True,True,True,True,True,False,False,False,True,True,False,True,True,False,False,True,False,True,share,unknown,fingerprint,bottle,east,48000.0,10,1,0,2,13.997832948091215
4600000.0,35.0,2,thạnh mỹ lợi,True,True,False,True,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,share,unknown,fingerprint,unknown,east,131428.57142857142,5,1,0,3,15.341567078850604
5000000.0,26.0,bình thạnh,11,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,share,unknown,fingerprint,unknown,near_center,192307.6923076923,3,1,0,3,15.424948670398354
8700000.0,45.0,phú nhuận,5,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,share,unknown,unknown,unknown,near_center,193333.33333333334,2,0,0,1,15.978833698567334
3200000.0,18.0,1,tân định,True,True,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,False,False,unknown,unknown,unknown,tap,center,177777.77777777778,6,2,0,0,14.978661680269907
2500000.0,35.0,12,thạnh xuân,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,east,71428.57142857143,1,0,0,0,14.731801689838349
5000000.0,25.0,bình thạnh,11,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,share,unknown,unknown,unknown,near_center,200000.0,2,0,0,1,15.424948670398354
8199999.999999999,30.0,bình thạnh,13,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,private,unknown,unknown,unknown,near_center,273333.3333333333,7,0,0,1,15.919644834185693
2200000.0,15.0,bình tân,an lạc,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,unknown,unknown,unknown,bottle,west,146666.66666666666,3,1,0,1,14.603968372873895
2500000.0,20.0,tân bình,13,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,unknown,unknown,unknown,tap,near_center,125000.0,4,1,0,1,14.731801689838349
2000000.0,25.0,1,nguyễn cư trinh,True,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,unknown,private,unknown,bottle,center,80000.0,5,1,0,0,14.508658238524095
3000000.0,28.0,7,tân kiểng,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,unknown,unknown,unknown,unknown,south,107142.85714285714,1,1,0,1,14.914123179965662
1500000.0,48.0,tân bình,2,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,share,unknown,fingerprint,unknown,near_center,31250.0,4,1,0,1,14.220976332738882
4600000.0,20.0,1,đa kao,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,unknown,unknown,unknown,unknown,center,230000.0,7,1,0,0,15.341567078850604
5500000.0,25.0,10,14,True,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,True,False,False,share,unknown,fingerprint,bottle,center,220000.0,9,2,0,3,15.520258832020865
4100000.0,30.0,gò vấp,13,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,share,unknown,unknown,unknown,outer,136666.66666666666,2,0,0,1,15.226497775576945
5600000.0,30.0,phú nhuận,2,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,unknown,unknown,unknown,unknown,near_center,186666.66666666666,6,0,0,0,15.53827733427679
4000000.0,26.0,11,16,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,unknown,unknown,unknown,unknown,center,153846.15384615384,0,1,0,0,15.201805169084134
3500000.0,19.0,bình thạnh,12,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,unknown,unknown,fingerprint,bottle,near_center,184210.52631578947,5,0,0,1,15.068273812173887
3800000.0,25.0,phú nhuận,2,True,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,near_center,152000.0,4,0,0,0,15.150511887854474
4700000.0,36.0,tân bình,12,True,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,unknown,unknown,unknown,unknown,near_center,130555.55555555556,6,1,0,1,15.363073279446223
2900000.0,28.0,hóc môn,bà điểm,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,outer,103571.42857142857,3,0,0,0,14.88022163978423
4200000.0,25.0,phú nhuận,2,True,True,False,True,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,share,private,fingerprint,unknown,near_center,168000.0,7,1,0,3,15.250595321348806
3000000.0,35.0,gò vấp,14,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,outer,85714.28571428571,1,0,0,0,14.914123179965662
3000000.0,25.0,tân bình,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,unknown,unknown,unknown,unknown,near_center,120000.0,0,1,0,0,14.914123179965662
2500000.0,25.0,bình chánh,,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,unknown,private,unknown,unknown,outer,100000.0,3,1,0,2,14.731801689838349
5700000.0,30.0,phú nhuận,2,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,unknown,unknown,unknown,unknown,near_center,190000.0,6,0,0,0,15.555976908243359
6000000.0,30.0,bình tân,an lạc a,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,unknown,unknown,unknown,unknown,west,200000.0,2,1,0,1,15.607270193858982
4250000.0,38.0,thủ đức,phú hữu,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,private,unknown,unknown,east,111842.1052631579,2,0,0,0,15.26242977619469
4200000.0,19.0,bình thạnh,15,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,share,private,unknown,unknown,near_center,221052.63157894736,6,2,0,2,15.250595321348806
1800000.0,18.0,tân phú,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,unknown,unknown,unknown,bottle,west,100000.0,0,0,0,0,14.403297778421795
1900000.0,14.0,bình tân,bình trị đông,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,unknown,unknown,unknown,unknown,west,135714.2857142857,0,0,0,0,14.45736497045232
8500000.0,20.0,1,tân định,True,False,True,False,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,unknown,unknown,unknown,bottle,center,425000.0,4,2,0,0,15.955576839107596
3500000.0,22.0,bình tân,an lạc a,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,unknown,unknown,unknown,unknown,west,159090.9090909091,2,1,0,1,15.068273812173887
2400000.0,12.0,5,9,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,share,private,unknown,unknown,center,200000.0,4,3,0,2,14.690979711984754
5250000.0,22.5,gò vấp,8,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,unknown,private,unknown,bottle,outer,233333.33333333334,4,1,0,1,15.473738825043979
3200000.0,20.0,phú nhuận,7,True,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,unknown,unknown,fingerprint,unknown,near_center,160000.0,7,0,0,3,14.978661680269907
1700000.0,15.0,bình tân,an lạc,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,True,True,False,unknown,share,fingerprint,bottle,west,113333.33333333333,5,1,0,2,14.346139397261565
4800000.0,35.0,7,tân quy,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,unknown,unknown,unknown,bottle,south,137142.85714285713,0,3,0,0,15.38412668421143
4500000.0,35.0,tân bình,15,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,True,False,True,share,share,unknown,bottle,near_center,128571.42857142857,9,0,0,1,15.319588176962746
2500000.0,18.0,gò vấp,3,False,True,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,unknown,share,unknown,unknown,outer,138888.88888888888,4,1,0,1,14.731801689838349
